hidden,ethnie,proportion,proportion_correct_cau,proportion_correct_ch
75,cau,30,1.0,1.0
75,cau,30,0.0,0.017857142857142856
75,cau,30,1.0,1.0
75,cau,30,0.0,0.017857142857142856
75,cau,30,1.0,1.0
75,cau,30,0.041666666666666664,0.017857142857142856
75,cau,30,0.0,0.05357142857142857
75,cau,30,0.0,0.03571428571428571
75,cau,30,0.0,0.017857142857142856
75,cau,30,1.0,1.0
75,cau,30,0.0,0.03571428571428571
75,cau,30,0.0,0.03571428571428571
75,cau,20,1.0,1.0
75,cau,20,1.0,1.0
75,cau,20,1.0,1.0
75,cau,20,0.07142857142857142,0.0
75,cau,20,0.07142857142857142,0.017857142857142856
75,cau,20,1.0,1.0
75,cau,20,0.07142857142857142,0.0
75,cau,20,1.0,1.0
75,cau,20,0.0,0.017857142857142856
75,cau,20,0.0,0.07142857142857142
75,cau,20,1.0,1.0
75,cau,20,0.07142857142857142,0.0
75,cau,20,0.07142857142857142,0.07142857142857142
75,cau,20,0.0,0.017857142857142856
75,cau,20,0.0,0.017857142857142856
75,cau,20,1.0,1.0
75,cau,20,0.0,0.017857142857142856
75,cau,20,0.0,0.03571428571428571
75,cau,20,0.0,0.017857142857142856
75,cau,20,0.07142857142857142,0.017857142857142856
75,cau,10,0.0,0.03571428571428571
75,cau,10,1.0,1.0
75,cau,10,0.0,0.017857142857142856
75,cau,10,1.0,1.0
75,cau,10,1.0,1.0
75,cau,10,1.0,1.0
75,cau,10,0.0,0.03571428571428571
75,cau,10,0.0,0.017857142857142856
75,cau,10,1.0,1.0
75,cau,10,0.0,0.017857142857142856
75,cau,10,1.0,1.0
75,cau,10,1.0,1.0
75,cau,10,1.0,1.0
75,cau,10,1.0,1.0
75,cau,10,1.0,1.0
75,cau,10,1.0,1.0
75,cau,10,0.0,0.017857142857142856
75,cau,10,0.16666666666666666,0.0
75,cau,10,0.16666666666666666,0.017857142857142856
75,cau,10,1.0,1.0
75,cau,0,0.0,0.017857142857142856
75,cau,0,0.0,0.017857142857142856
75,cau,0,0.0,0.16071428571428573
75,cau,0,0.0,1.0
75,cau,0,0.0,0.017857142857142856
75,cau,0,0.0,0.017857142857142856
75,cau,0,0.0,0.017857142857142856
75,cau,0,0.0,1.0
75,cau,0,0.0,0.017857142857142856
75,cau,0,0.0,0.017857142857142856
75,cau,0,0.0,0.017857142857142856
75,cau,0,0.0,0.017857142857142856
75,cau,0,0.0,0.017857142857142856
75,cau,0,0.0,1.0
75,cau,0,0.0,0.017857142857142856
75,cau,0,0.0,1.0
75,cau,0,0.0,1.0
75,cau,0,0.0,1.0
75,cau,0,0.0,0.017857142857142856
75,cau,0,0.0,0.03571428571428571
100,ch,0,0.017857142857142856,0.0
100,ch,0,1.0,0.0
100,ch,0,1.0,0.0
100,ch,0,0.017857142857142856,0.0
100,ch,0,1.0,0.0
100,ch,0,0.07142857142857142,0.0
100,ch,0,0.017857142857142856,0.0
100,ch,0,1.0,0.0
100,ch,0,0.017857142857142856,0.0
100,ch,0,0.017857142857142856,0.0
100,ch,0,1.0,0.0
100,ch,0,1.0,0.0
100,ch,0,1.0,0.0
100,ch,0,1.0,0.0
100,ch,0,0.017857142857142856,0.0
100,ch,0,1.0,0.0
100,ch,0,0.017857142857142856,0.0
100,ch,0,1.0,0.0
100,ch,0,1.0,0.0
100,ch,0,0.017857142857142856,0.0
100,ch,10,0.017857142857142856,0.0
100,ch,10,0.03571428571428571,0.0
100,ch,10,0.0,0.16666666666666666
100,ch,10,1.0,1.0
100,ch,10,0.017857142857142856,0.0
100,ch,10,0.017857142857142856,0.0
100,ch,10,1.0,1.0
100,ch,10,1.0,1.0
100,ch,10,1.0,1.0
100,ch,10,0.0,0.16666666666666666
100,ch,10,0.017857142857142856,0.0
100,ch,10,1.0,1.0
100,ch,10,0.017857142857142856,0.0
100,ch,10,1.0,1.0
100,ch,10,0.0,0.16666666666666666
100,ch,10,1.0,1.0
100,ch,10,1.0,1.0
100,ch,10,1.0,1.0
100,ch,10,1.0,1.0
100,ch,10,1.0,1.0
100,ch,20,1.0,1.0
100,ch,20,0.017857142857142856,0.07142857142857142
100,ch,20,1.0,1.0
100,ch,20,1.0,1.0
100,ch,20,1.0,1.0
100,ch,20,1.0,1.0
100,ch,20,1.0,1.0
100,ch,20,1.0,1.0
100,ch,20,1.0,1.0
100,ch,20,1.0,1.0
100,ch,20,1.0,1.0
100,ch,20,0.017857142857142856,0.0
100,ch,20,1.0,1.0
100,ch,20,0.017857142857142856,0.0
100,ch,20,1.0,1.0
100,ch,20,1.0,1.0
100,ch,20,0.03571428571428571,0.0
100,ch,20,1.0,1.0
100,ch,20,1.0,1.0
100,ch,20,1.0,1.0
100,ch,30,1.0,1.0
100,ch,30,1.0,1.0
100,ch,30,1.0,1.0
